timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1633734302128,138,HTTP Request-1,301,Moved Permanently,Thread Group 1-25,text,true,,754,125,3,3,https://www.google.com/classroom,138,0,109
1633734302267,781,HTTP Request-2,302,Moved Temporarily,Thread Group 1-25,text,true,,1728,122,3,3,https://classroom.google.com/,774,0,114
1633734303049,363,HTTP Request-3,200,OK,Thread Group 1-25,text,true,,101829,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,210,0,96
1633734302488,1577,HTTP Request,200,OK,Thread Group 1-26,text,true,,104882,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,134,0,105
1633734302488,134,HTTP Request-0,301,Moved Permanently,Thread Group 1-26,text,true,,759,121,4,4,https://google.com/classroom,134,0,105
1633734302622,151,HTTP Request-1,301,Moved Permanently,Thread Group 1-26,text,true,,754,125,4,4,https://www.google.com/classroom,151,0,122
1633734302774,924,HTTP Request-2,302,Moved Temporarily,Thread Group 1-26,text,true,,1728,122,4,4,https://classroom.google.com/,908,0,118
1633734303699,366,HTTP Request-3,200,OK,Thread Group 1-26,text,true,,101641,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,224,0,113
1633734302989,1437,HTTP Request,200,OK,Thread Group 1-27,text,true,,104995,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,130,0,99
1633734302989,130,HTTP Request-0,301,Moved Permanently,Thread Group 1-27,text,true,,759,121,3,3,https://google.com/classroom,130,0,99
1633734303120,150,HTTP Request-1,301,Moved Permanently,Thread Group 1-27,text,true,,754,125,3,3,https://www.google.com/classroom,150,0,121
1633734303271,778,HTTP Request-2,302,Moved Temporarily,Thread Group 1-27,text,true,,1728,122,3,3,https://classroom.google.com/,773,0,115
1633734304050,376,HTTP Request-3,200,OK,Thread Group 1-27,text,true,,101754,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,235,0,106
1633734303488,1568,HTTP Request,200,OK,Thread Group 1-28,text,true,,104817,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,138,0,109
1633734303488,138,HTTP Request-0,301,Moved Permanently,Thread Group 1-28,text,true,,759,121,4,4,https://google.com/classroom,138,0,109
1633734303627,144,HTTP Request-1,301,Moved Permanently,Thread Group 1-28,text,true,,754,125,4,4,https://www.google.com/classroom,144,0,114
1633734303771,902,HTTP Request-2,302,Moved Temporarily,Thread Group 1-28,text,true,,1728,122,4,4,https://classroom.google.com/,902,0,117
1633734304674,382,HTTP Request-3,200,OK,Thread Group 1-28,text,true,,101576,251,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,228,0,110
1633734303989,1395,HTTP Request,200,OK,Thread Group 1-29,text,true,,106011,619,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,124,0,96
1633734303989,124,HTTP Request-0,301,Moved Permanently,Thread Group 1-29,text,true,,759,121,3,3,https://google.com/classroom,124,0,96
1633734304114,140,HTTP Request-1,301,Moved Permanently,Thread Group 1-29,text,true,,754,125,3,3,https://www.google.com/classroom,140,0,111
1633734304254,760,HTTP Request-2,302,Moved Temporarily,Thread Group 1-29,text,true,,1728,122,3,3,https://classroom.google.com/,760,0,99
1633734305015,369,HTTP Request-3,200,OK,Thread Group 1-29,text,true,,102770,251,3,3,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,228,0,106
1633734304488,1547,HTTP Request,200,OK,Thread Group 1-30,text,true,,104907,619,4,4,https://accounts.google.com/ServiceLogin?service=classroom&passive=1209600&continue=https://classroom.google.com/&followup=https://classroom.google.com/&emr=1,140,0,109
